review_stat_id,object,url,data_updated_at,data_created_at,subject_id,data_subject_type,data_meaning_correct,data_meaning_incorrect,data_meaning_max_streak,data_meaning_current_streak,data_reading_correct,data_reading_incorrect,data_reading_max_streak,data_reading_current_streak,data_percentage_correct,data_hidden
466006698,review_statistic,https://api.wanikani.com/v2/review_statistics/466006698,2025-08-06 01:38:58.388466+00:00,2025-02-09 16:02:44.241184+00:00,458,kanji,9,0,9,9,9,1,9,9,95,False
466006726,review_statistic,https://api.wanikani.com/v2/review_statistics/466006726,2025-08-10 12:58:28.179602+00:00,2025-02-09 16:02:56.840102+00:00,2495,vocabulary,12,2,8,8,12,1,11,11,89,False
466006740,review_statistic,https://api.wanikani.com/v2/review_statistics/466006740,2025-08-03 20:57:00.055779+00:00,2025-02-09 16:03:06.315533+00:00,43,radical,8,0,8,8,8,0,8,8,100,False
466006758,review_statistic,https://api.wanikani.com/v2/review_statistics/466006758,2025-08-03 20:46:24.020939+00:00,2025-02-09 16:03:14.112079+00:00,2496,vocabulary,8,0,8,8,8,0,8,8,100,False
466006776,review_statistic,https://api.wanikani.com/v2/review_statistics/466006776,2025-08-03 20:55:58.023825+00:00,2025-02-09 16:03:23.333807+00:00,2493,vocabulary,8,0,8,8,8,0,8,8,100,False
466007146,review_statistic,https://api.wanikani.com/v2/review_statistics/466007146,2025-08-03 20:47:12.717786+00:00,2025-02-09 16:05:52.590818+00:00,44,radical,8,0,8,8,8,0,8,8,100,False
466007176,review_statistic,https://api.wanikani.com/v2/review_statistics/466007176,2025-09-28 16:24:22.623966+00:00,2025-02-09 16:06:04.483381+00:00,459,kanji,11,0,11,11,11,1,6,5,96,False
466007208,review_statistic,https://api.wanikani.com/v2/review_statistics/466007208,2025-08-06 01:41:31.381460+00:00,2025-02-09 16:06:16.296909+00:00,8763,radical,9,2,9,9,9,0,9,9,90,False
466007223,review_statistic,https://api.wanikani.com/v2/review_statistics/466007223,2025-08-03 20:56:18.787896+00:00,2025-02-09 16:06:24.022267+00:00,2498,vocabulary,8,0,8,8,8,0,8,8,100,False
466007234,review_statistic,https://api.wanikani.com/v2/review_statistics/466007234,2025-08-18 03:01:29.071457+00:00,2025-02-09 16:06:29.505230+00:00,2497,vocabulary,15,0,15,15,15,3,8,8,91,False
466008024,review_statistic,https://api.wanikani.com/v2/review_statistics/466008024,2025-08-03 20:51:48.309596+00:00,2025-02-09 16:12:18.091181+00:00,46,radical,8,0,8,8,8,0,8,8,100,False
466008032,review_statistic,https://api.wanikani.com/v2/review_statistics/466008032,2025-08-03 21:01:58.550245+00:00,2025-02-09 16:12:23.407950+00:00,2499,vocabulary,8,0,8,8,8,0,8,8,100,False
466008040,review_statistic,https://api.wanikani.com/v2/review_statistics/466008040,2025-12-21 20:39:50.267479+00:00,2025-02-09 16:12:26.229879+00:00,47,radical,8,0,8,8,8,0,8,8,100,False
466008047,review_statistic,https://api.wanikani.com/v2/review_statistics/466008047,2025-11-11 03:36:22.082857+00:00,2025-02-09 16:12:29.623155+00:00,464,kanji,8,0,8,8,8,0,8,8,100,False
466008067,review_statistic,https://api.wanikani.com/v2/review_statistics/466008067,2025-08-03 20:51:02.812093+00:00,2025-02-09 16:12:40.469209+00:00,2500,vocabulary,8,0,8,8,8,0,8,8,100,False
466491429,review_statistic,https://api.wanikani.com/v2/review_statistics/466491429,2025-08-06 22:18:13.526029+00:00,2025-02-10 12:39:27.244112+00:00,48,radical,9,1,9,9,9,0,9,9,95,False
466491448,review_statistic,https://api.wanikani.com/v2/review_statistics/466491448,2025-08-06 01:38:25.059573+00:00,2025-02-10 12:39:35.258410+00:00,2501,vocabulary,8,0,8,8,8,0,8,8,100,False
466491481,review_statistic,https://api.wanikani.com/v2/review_statistics/466491481,2025-08-06 01:38:55.341224+00:00,2025-02-10 12:39:48.869392+00:00,2502,vocabulary,8,0,8,8,8,0,8,8,100,False
466491491,review_statistic,https://api.wanikani.com/v2/review_statistics/466491491,2025-08-06 02:25:41.503531+00:00,2025-02-10 12:39:52.937427+00:00,2503,vocabulary,8,0,8,8,8,0,8,8,100,False
466491513,review_statistic,https://api.wanikani.com/v2/review_statistics/466491513,2025-08-06 01:42:35.714797+00:00,2025-02-10 12:40:02.411147+00:00,479,kanji,8,0,8,8,8,0,8,8,100,False
466491611,review_statistic,https://api.wanikani.com/v2/review_statistics/466491611,2025-08-06 01:42:38.051974+00:00,2025-02-10 12:40:46.681333+00:00,49,radical,8,0,8,8,8,0,8,8,100,False
466491617,review_statistic,https://api.wanikani.com/v2/review_statistics/466491617,2025-08-06 02:24:05.482454+00:00,2025-02-10 12:40:50.746298+00:00,2504,vocabulary,8,0,8,8,8,0,8,8,100,False
466491638,review_statistic,https://api.wanikani.com/v2/review_statistics/466491638,2025-08-06 01:40:46.898819+00:00,2025-02-10 12:41:01.183805+00:00,50,radical,8,0,8,8,8,0,8,8,100,False
466491680,review_statistic,https://api.wanikani.com/v2/review_statistics/466491680,2025-08-06 01:40:00.595901+00:00,2025-02-10 12:41:23.402471+00:00,2505,vocabulary,8,0,8,8,8,0,8,8,100,False
