snapshot_date,subject_id,subject_type,data_level,data_srs_stage,pct_correct,total_attempts_est,total_incorrect,meaning_error_rate,reading_error_rate,data_meaning_current_streak,data_reading_current_streak,data_meaning_max_streak,data_reading_max_streak,age_days_since_unlocked,days_since_assignment_update,has_reading,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
2026-04-21,3759,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.0775430541551,90.43364254429399,1,1,0,0,1
2026-04-21,3760,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.0775429960995,90.43324225541667,1,2,0,0,1
2026-04-21,3746,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.07372456979164,90.43703637750001,1,1,0,0,1
2026-04-21,3761,vocabulary,15,6,88.0,41.0,5.0,0.18181818181818182,0.05263157894736842,2.0,18.0,6.0,18.0,288.0722686990972,4.129513505243056,1,2,0,0,1
2026-04-21,3762,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.07226862631944,90.43520758085648,1,2,0,0,1
2026-04-21,8751,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.0722685473032,83.44388279724538,1,2,0,0,1
2026-04-21,6809,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.07182684988425,90.42753699582175,1,1,0,0,1
2026-04-21,6810,vocabulary,15,8,93.0,28.0,2.0,0.0,0.13333333333333333,13.0,5.0,13.0,7.0,288.0718228851621,22.903140129131945,1,2,0,0,1
2026-04-21,3754,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,287.8877732022801,90.43622774778936,1,1,0,0,1
2026-04-21,3780,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,287.4851207301852,90.43262922570602,1,1,0,0,1
